,sg_document_type,sg_create_at,sg_update_at,sg_additional_info,form_date,user_type,format_action,business_type,legal_representatives,directives,shareholders,bank_referrals,commercial_referrals,format_info.code,format_info.version,basic_info.type,basic_info.entity.name,basic_info.entity.id_type,basic_info.entity.id,basic_info.legal_representative.name,basic_info.legal_representative.id_type,basic_info.legal_representative.id,basic_info.address,basic_info.city,basic_info.phone,basic_info.contact_info,basic_info.isPEP,basic_info.last_position,business_info.statutory_activity,business_info.ciiu,business_info.joint-document,business_info.commercial_registration,business_info.registered_shared_capital,business_info.constitution_date,business_info.good_or_service,business_info.company_type, ,certificates.list_of_certificates,certificates.in_progress.process,certificates.in_progress.percentage_progress,certificates.in_progress.init_date,accounting_and_taxes.isRegimenComun,accounting_and_taxes.isRegimenSimplificado,accounting_and_taxes.isDeclaraRenta,accounting_and_taxes.isAutoRetenedor,accounting_and_taxes.payment_terms,accounting_and_taxes.payment_terms_other,
0,formulario_conocimiento,2022-05-12,2022-05-12,,2022-04-14,cliente,vincular,,[],[],[],"[{'name': 'Bancolombia', 'address': 'Huila Gigante , Cra. 5 #2-52', 'phone': '+ 57 2741582319'}, {'name': 'AVillas', 'address': 'Caldas Manizales , Cl. 22 #21-50', 'phone': '+ 57 3601026366'}, {'name': 'Bancolombia', 'address': 'Magdalena Aracataca , Cra. 3 #5-13', 'phone': '+ 57 9160207418'}]",[],Sagrilaft,1,natural,Emma Almeida Paniagua,CC,4941462696,,,,"Meta Puerto Rico , Cra. 2 #13-57",Florencia,+ 57 2077878433,"({'name': 'Emma Almeida Paniagua', 'position': 'Operador máquina ensamble vehículos motor', 'email': 'jdaza@yahoo.com', 'phone': ['+ 57 208529981']},)",False,Secretario general organización empleadores,2740,Fabricación de equipos eléctricos de iluminación,9731,,,1983-05-14,,,,,,,,False,False,False,False,60d,,
1,formulario_conocimiento,2022-05-12,2022-05-12,,2022-03-15,proveedor,vincular,,[],[],[],"[{'name': 'Bancolombia', 'address': 'Antioquia Medellin , Cra. 76 #31-49', 'phone': '+ 57 9759497714'}]",[],Sagrilaft,1,natural,Claudia Maribel Orozco,CC,6171367616,,,,"Antioquia Amaga , Cl. 49 #51-69",Suárez,+ 57 7428167511,"({'name': 'Claudia Maribel Orozco', 'position': 'Oficial instalaciones sanitarias', 'email': 'blas45@yahoo.com', 'phone': ['+ 57 5471940929']},)",False,Guía viajes,71121,Actividades de ingeniería y otras actividades conexas de consultoría técnica,2400,,,1975-12-18,,,,,,,,False,True,False,False,30d0,,
2,formulario_conocimiento,2022-05-12,2022-05-12,,2022-03-22,proveedor,vincular,,[],[],[],"[{'name': 'Finandina', 'address': 'Boyaca Labranzagrande , Cra. 8 #8-29', 'phone': '+ 57 3620140258'}, {'name': 'Finandina', 'address': 'Santander Bolivar , Cra. 3 #6-23', 'phone': '+ 57 8487380190'}]",[],Sagrilaft,1,natural,Obdulia Moles Esteban,CC,2861937513,,,,"Sucre San Marcos , Cl. 19 #23A",González,+ 57 4344705853,"({'name': 'Obdulia Moles Esteban', 'position': 'Grabador cilindros metàlicos impresión', 'email': 'tsureda@gmail.com', 'phone': ['+ 57 7618056592']},)",False,Troquelador encuadernación ,2910,Fabricación de vehículos automotores y sus motores,7584,,,1981-08-09,,,,,,,,False,False,False,False,30d0,,
3,formulario_conocimiento,2022-05-12,2022-05-12,,2022-04-20,cliente,vincular,,[],[],[],"[{'name': 'Finandina', 'address': 'Bolivar Cartagena , Cra. 3 #9', 'phone': '+ 57 971704548'}]",[],Sagrilaft,1,natural,Carmen Rico,CC,7898224037,,,,"Norte De Santander Cucuta , Cl. 14 #0-17",Buesaco,+ 57 6102255305,"({'name': 'Carmen Rico', 'position': 'Operador máquina intercaladora chapas madera', 'email': 'ramona60@hotmail.com', 'phone': ['+ 57 9752608299']},)",True,Profesor educación superior lenguas modernas,2211,Fabricación de llantas y neumáticos de caucho,9608,,,1986-06-23,,,,,,,,False,True,True,False,60d,,
4,formulario_conocimiento,2022-05-12,2022-05-12,,2022-05-08,cliente,vincular,,[],[],[],"[{'name': 'AVillas', 'address': 'Huila Acevedo , Cra. 4 #8-27', 'phone': '+ 57 1294427773'}, {'name': 'AVillas', 'address': 'Antioquia Yali , Cl. 19 #21-17', 'phone': '+ 57 6496772407'}, {'name': 'Finandina', 'address': 'Cundinamarca - Bogota, Cra. 7 #33-13', 'phone': '+ 57 8410836636'}, {'name': 'Bancolombia', 'address': 'Boyaca Villa De Leyva , Cl. 10 #8-13', 'phone': '+ 57 6607316151'}]",[],Sagrilaft,1,natural,Flavia Peñalver Agullo,CC,4167444657,,,,"Cundinamarca Bogota , Cl. 53A ",Morroa,+ 57 8899073385,"({'name': 'Flavia Peñalver Agullo', 'position': 'Profesor educación especial ciegos', 'email': 'tartigas@gmail.com', 'phone': ['+ 57 9611477134']},)",False,Capitán de corbeta,4210,Construcción de carreteras y vías de ferrocarril,6641,,,2002-10-30,,,,,,,,False,False,True,False,60d,,
5,formulario_conocimiento,2022-05-12,2022-05-12,,2022-04-12,cliente,vincular,,[],[],[],"[{'name': 'Finandina', 'address': 'Antioquia Taraza , Cra. 33 #28-56', 'phone': '+ 57 9705872988'}]",[],Sagrilaft,1,natural,Chelo Azahara Hoyos Sevilla,CC,6726723870,,,,"Cundinamarca Bogota , Cl. 53A ",Abejorral,+ 57 1640049669,"({'name': 'Chelo Azahara Hoyos Sevilla', 'position': 'Profesor inglés escuela idiomas', 'email': 'ariel58@yahoo.com', 'phone': ['+ 57 4899271270']},)",False,Cultivador caña azúcar,4759,Comercio al por menor de otros artículos domésticos en establecimientos especializados,3708,,,1988-02-25,,,,,,,,False,False,False,False,30d0,,
6,formulario_conocimiento,2022-05-12,2022-05-12,,2022-04-22,proveedor,vincular,Grande,"[{'name': 'Encarnación Elías Bermudez', 'id_type': 'CE', 'id_number': '4409282424', 'nationality': 'Burkina Faso'}, {'name': 'Consuelo Álvarez Ramos', 'id_type': 'CC', 'id_number': '9684082905', 'nationality': 'Kazakhstan'}, {'name': 'Apolinar Ramis Antón', 'id_type': 'CE', 'id_number': '6338168952', 'nationality': 'Lebanon'}]","[{'name': 'Eliana Carolina Vargas Bernal', 'id_type': 'CE', 'id_number': '7648174478', 'nationality': 'Chile'}, {'name': 'Apolinar Ramis Antón', 'id_type': 'CE', 'id_number': '6338168952', 'nationality': 'Lebanon'}]","[{'name': 'María Ceballos Gómez', 'id_type': 'CE', 'id_number': '3146641254', 'nationality': 'Guam', 'isPEP': False, 'share_percentage': 1}, {'name': 'Eva María Galan Castrillo', 'id_type': 'CC', 'id_number': '7316805167', 'nationality': 'Niger', 'isPEP': True, 'share_percentage': 1}, {'name': 'Benigna Riba-Campillo', 'id_type': 'CC', 'id_number': '1891068556', 'nationality': 'Bahrain', 'isPEP': True, 'share_percentage': 1}, {'name': 'Marina Sánchez Meza', 'id_type': 'CC', 'id_number': '7140554966', 'nationality': 'Mozambique', 'isPEP': True, 'share_percentage': 1}]","[{'name': 'Finandina', 'address': 'Valle Del Cauca Guacari , Cl. 6 #4-64', 'phone': '+ 57 4337783378'}, {'name': 'Bancolombia', 'address': 'Caldas Chinchina , Cra. 8 #11-47', 'phone': '+ 57 6397112296'}, {'name': 'AVillas', 'address': 'Cordoba San Carlos , Cra. 3 #11-55', 'phone': '+ 57 239449693'}]","[{'name': 'Hernández-Caballero', 'address': 'Santander Barrancabermeja , Cl. 50 #8B-35', 'phone': '+ 57 6467551192'}, {'name': 'Melo, Obando and Cárdenas', 'address': 'Cundinamarca - Bogota, Cl. 80 #70F-55', 'phone': '+ 57 8861316991'}]",Sagrilaft,1,juridica,Campoy-Pedrero,NIT,4389454973,José Monroy,CC,9123431022,"Cundinamarca La Palma , Cl. 4 #5-61",Cañasgordas,+ 57 6701503589,"({'name': 'Sandra Rocío Morales', 'position': 'Instalador aislación edificios', 'email': 'noellorens@hotmail.com', 'phone': ['+ 57 3358266022']},)",True,Soldador eléctrica,2825,"Fabricación de maquinaria para la elaboración de alimentos, bebidas y tabaco",2535,248df45e160d998b2243b78a8a6a96de1f2d415d,fb0f6866297c4b6abb56e37b91ebe920c5ed87e8,1995-06-13,2825,Sociedad en comandita,Privado,27001,,,,True,False,True,True,Contado,,
7,formulario_conocimiento,2022-05-12,2022-05-12,,2022-04-26,proveedor,vincular,Pequeña,"[{'name': 'Ricarda Valverde', 'id_type': 'CC', 'id_number': '3534433764', 'nationality': 'Tajikistan'}]","[{'name': 'Ana Belén Pagès Aramburu', 'id_type': 'CE', 'id_number': '7713940499', 'nationality': 'Palau'}, {'name': 'Germán Lino Lucas Torralba', 'id_type': 'CE', 'id_number': '9512841871', 'nationality': 'Bermuda'}, {'name': 'Ricarda Valverde', 'id_type': 'CC', 'id_number': '3534433764', 'nationality': 'Tajikistan'}]","[{'name': 'Hugo Barrios', 'id_type': 'CC', 'id_number': '8329857307', 'nationality': 'Ukraine', 'isPEP': False, 'share_percentage': 1}, {'name': 'Francisco Moreno Escalona Alberdi', 'id_type': 'CE', 'id_number': '822924975', 'nationality': 'Hungary', 'isPEP': False, 'share_percentage': 1}]","[{'name': 'Bancolombia', 'address': 'Antioquia Carolina , Cra. 50 #48-73', 'phone': '+ 57 1091209899'}, {'name': 'AVillas', 'address': 'Meta Villavicencio , Cra. 32 #39-54', 'phone': '+ 57 7517772796'}, {'name': 'Finandina', 'address': 'Cundinamarca Bogota , Cl. 45A #14-37', 'phone': '+ 57 4437358594'}]",[],Sagrilaft,1,juridica,Barrios-Ruiz,NIT,3480457402,Jorge Parra,CE,8956053014,"Valle Del Cauca Yumbo , Cl. 3 #4-31",Versalles,+ 57 6846067315,"({'name': 'Luz Pinto Contreras', 'position': 'Técnico archivística', 'email': 'eulaliavalera@yahoo.com', 'phone': ['+ 57 8061338577']},)",False,Instructor fundición y metalúrgia,1522,"Fabricación de otros tipos de calzado, excepto calzado de cuero y piel",8695,e4dd6d9287015d0a6eda06c4a57efc4a81cb3e75,d9a97c9e67c6be466de4ebd0f09fc9cf5a8cb935,1973-04-21,1522,Otras,Publico,Otra,,,,True,False,True,True,60d,,
8,formulario_conocimiento,2022-05-12,2022-05-12,,2022-04-19,proveedor,vincular,Pequeña,"[{'name': 'Rafael Cristian Pérez', 'id_type': 'CE', 'id_number': '7221246536', 'nationality': 'Micronesia, Federated States of Micronesia'}, {'name': 'Eder Jairo Aguirre', 'id_type': 'CE', 'id_number': '7744658648', 'nationality': 'Pakistan'}, {'name': 'Carlota Villalonga Rivero', 'id_type': 'CC', 'id_number': '268293959', 'nationality': 'Turks and Caicos Islands'}, {'name': 'John Guevara', 'id_type': 'CC', 'id_number': '9370393501', 'nationality': 'Virgin Islands, U.S.'}]","[{'name': 'Humberto Gómez', 'id_type': 'CC', 'id_number': '3966964216', 'nationality': ""Korea, Democratic People's Republic of Korea""}, {'name': 'Lázaro Sainz Escrivá', 'id_type': 'CE', 'id_number': '9160035098', 'nationality': 'United Arab Emirates'}, {'name': 'Lizeth Andrea Pinzón Ospino', 'id_type': 'CC', 'id_number': '4900750244', 'nationality': 'Burkina Faso'}, {'name': 'John Guevara', 'id_type': 'CC', 'id_number': '9370393501', 'nationality': 'Virgin Islands, U.S.'}]","[{'name': 'Celestino de Cañellas', 'id_type': 'CC', 'id_number': '2871731698', 'nationality': 'Spain', 'isPEP': False, 'share_percentage': 1}, {'name': 'Cecilia Andrea Ramírez', 'id_type': 'CE', 'id_number': '7599760734', 'nationality': 'Mozambique', 'isPEP': True, 'share_percentage': 1}]","[{'name': 'Bancolombia', 'address': 'Sucre Palmito , Cl. 6 #5-55', 'phone': '+ 57 4100682659'}, {'name': 'Finandina', 'address': 'Cauca Bolivar , Cl. 8 #5-77', 'phone': '+ 57 7306498428'}, {'name': 'AVillas', 'address': 'Valle Del Cauca Cali , Cra. 42A #5B-76', 'phone': '+ 57 4854363307'}]",[],Sagrilaft,1,juridica,Vásquez-Vargas,NIT,2963710226,Jesús Malo-Vall,CE,2896807881,"Magdalena Algarrobo , Cl. 8 #9-34",Istmina,+ 57 2468403959,"({'name': 'Javier Armando Daza', 'position': 'Hornero productos arcilla', 'email': 'lolmo@hotmail.com', 'phone': ['+ 57 1339339666']},)",False,Disk jockey,3012,Construcción de embarcaciones de recreo y deporte,1095,b350f633cab2c49485760b06386061f008e28c42,970f243d319e7c3daa770795f1694e18ab467aca,1995-10-19,3012,Otras,Publico,Otra,,,,True,False,True,True,Contado,,
9,formulario_conocimiento,2022-05-12,2022-05-12,,2022-04-22,cliente,vincular,,[],[],[],"[{'name': 'Finandina', 'address': 'Tolima Flandes , Cra. 4 #11-03', 'phone': '+ 57 4913584459'}, {'name': 'AVillas', 'address': 'Boyaca Sogamoso , Cra. 11 #14-14', 'phone': '+ 57 4802644508'}, {'name': 'AVillas', 'address': 'Antioquia Fredonia , Cl. 49 #51-46', 'phone': '+ 57 3929858889'}, {'name': 'AVillas', 'address': 'Norte De Santander Chinacota , Cl. 4 #2-66', 'phone': '+ 57 1864679367'}]",[],Sagrilaft,1,natural,Hipólito Sola Ortega,CC,5693159931,,,,"Valle Del Cauca Vijes , Cra. 4 #6-18",Jordán,+ 57 71397696,"({'name': 'Hipólito Sola Ortega', 'position': 'Mecánico electrodomésticos', 'email': 'lbello@gmail.com', 'phone': ['+ 57 1842125369']},)",False,Maestro educación básica primaria,3514,Comercialización de energía eléctrica,5869,,,1972-10-04,,,,,,,,False,True,True,False,30d0,,
